id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
1706,"Yadavanahalli,Bangalore",8,4800,1.1
1707,"Kada Agrahara ,Bangalore",2,1050,0.75
1708,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1709,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1710,"Yelahanka,Bangalore",5,4000,6.6
1711,"Kattigenahalli,Bangalore",2,3000,1.08
1712,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1713,"Rajajinagar,Bangalore",7,5000,4.3
1714,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1715,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1716,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1717,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1718,"Margondanahalli,Bangalore",2,1000,1.2
1719,"Hancharahalli Village,Bangalore",3,1900,1.1
1720,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1721,"Mattanahalli,Bangalore",3,1450,0.79
1722,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1723,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1724,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1725,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1726,"Mavalli,Bangalore",10,8000,5.5
1727,"Harapanahalli,Bangalore",4,6000,3.1
1728,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1729,"Yadavanahalli,Bangalore",8,4800,1.1
1730,"Hemmigepura,Bangalore",3,1500,1.3
1731,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1732,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1733,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1734,"Cheemasandra,Bangalore",3,920,0.8
1735,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1736,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1737,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1738,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1739,"Kattigenahalli,Bangalore",2,3000,1.08
1740,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1741,"Rajajinagar,Bangalore",7,5000,4.3
1742,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1743,"Yelahanka,Bangalore",5,4000,6.6
1744,"Margondanahalli,Bangalore",2,1000,1.2
