id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
2089,"Yadavanahalli,Bangalore",8,4800,1.1
2090,"Hemmigepura,Bangalore",3,1500,1.3
2091,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2092,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2093,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2094,"Cheemasandra,Bangalore",3,920,0.8
2095,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2096,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2097,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2098,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2099,"Margondanahalli,Bangalore",2,1000,1.2
2100,"Hancharahalli Village,Bangalore",3,1900,1.1
2101,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2102,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2103,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2104,"Yelahanka,Bangalore",5,4000,6.6
2105,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2106,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2107,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2108,"Rajajinagar,Bangalore",7,5000,4.3
2109,"Kada Agrahara ,Bangalore",2,1050,0.75
2110,"Kattigenahalli,Bangalore",2,3000,1.08
2111,"Mattanahalli,Bangalore",3,1450,0.79
2112,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2113,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2114,"Hemmigepura,Bangalore",3,1500,1.3
2115,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2116,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2117,"Mavalli,Bangalore",10,8000,5.5
2118,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2119,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2120,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2121,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2122,"Harapanahalli,Bangalore",4,6000,3.1
2123,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2124,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2125,"Cheemasandra,Bangalore",3,920,0.8
2126,"Yadavanahalli,Bangalore",8,4800,1.1
2127,"Margondanahalli,Bangalore",2,1000,1.2
2128,"Hancharahalli Village,Bangalore",3,1900,1.1
2129,"Rajajinagar,Bangalore",7,5000,4.3
2130,"Kattigenahalli,Bangalore",2,3000,1.08
2131,"Mattanahalli,Bangalore",3,1450,0.79
2132,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2133,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2134,"Hemmigepura,Bangalore",3,1500,1.3
2135,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2136,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2137,"Mavalli,Bangalore",10,8000,5.5
2138,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2139,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2140,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2141,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2142,"Harapanahalli,Bangalore",4,6000,3.1
2143,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2144,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2145,"Cheemasandra,Bangalore",3,920,0.8
2146,"Yadavanahalli,Bangalore",8,4800,1.1
2147,"Kada Agrahara ,Bangalore",2,1050,0.75
2148,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2149,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2150,"Yelahanka,Bangalore",5,4000,6.6
2151,"Mattanahalli,Bangalore",3,1450,0.79
2152,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2153,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2154,"Yadavanahalli,Bangalore",8,4800,1.1
2155,"Harapanahalli,Bangalore",4,6000,3.1
2156,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2157,"Cheemasandra,Bangalore",3,920,0.8
2158,"Hemmigepura,Bangalore",3,1500,1.3
2159,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2160,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2161,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2162,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2163,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2164,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2165,"Mavalli,Bangalore",10,8000,5.5
2166,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2167,"Kada Agrahara ,Bangalore",2,1050,0.75
2168,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2169,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2170,"Yelahanka,Bangalore",5,4000,6.6
2171,"Mattanahalli,Bangalore",3,1450,0.79
2172,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2173,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2174,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2175,"Yadavanahalli,Bangalore",8,4800,1.1
2176,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2177,"Cheemasandra,Bangalore",3,920,0.8
2178,"Hemmigepura,Bangalore",3,1500,1.3
2179,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2180,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2181,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2182,"Harapanahalli,Bangalore",4,6000,3.1
2183,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2184,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2185,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2186,"Mavalli,Bangalore",10,8000,5.5
2187,"Kada Agrahara ,Bangalore",2,1050,0.75
2188,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2189,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2190,"Yelahanka,Bangalore",5,4000,6.6
2191,"Kattigenahalli,Bangalore",2,3000,1.08
2192,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2193,"Rajajinagar,Bangalore",7,5000,4.3
2194,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2195,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2196,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2197,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2198,"Margondanahalli,Bangalore",2,1000,1.2
2199,"Hancharahalli Village,Bangalore",3,1900,1.1
2200,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2201,"Mattanahalli,Bangalore",3,1450,0.79
2202,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2203,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2204,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2205,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2206,"Mavalli,Bangalore",10,8000,5.5
2207,"Harapanahalli,Bangalore",4,6000,3.1
2208,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2209,"Yadavanahalli,Bangalore",8,4800,1.1
2210,"Hemmigepura,Bangalore",3,1500,1.3
2211,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2212,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2213,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2214,"Cheemasandra,Bangalore",3,920,0.8
2215,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2216,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2217,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2218,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2219,"Hancharahalli Village,Bangalore",3,1900,1.1
2220,"Rajajinagar,Bangalore",7,5000,4.3
2221,"Mattanahalli,Bangalore",3,1450,0.79
2222,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2223,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2224,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2225,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2226,"Mavalli,Bangalore",10,8000,5.5
2227,"Harapanahalli,Bangalore",4,6000,3.1
2228,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2229,"Yadavanahalli,Bangalore",8,4800,1.1
2230,"Hemmigepura,Bangalore",3,1500,1.3
2231,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2232,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2233,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2234,"Cheemasandra,Bangalore",3,920,0.8
2235,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2236,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2237,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2238,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2239,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2240,"Kada Agrahara ,Bangalore",2,1050,0.75
2241,"Mattanahalli,Bangalore",3,1450,0.79
2242,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2243,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2244,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2245,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2246,"Mavalli,Bangalore",10,8000,5.5
2247,"Harapanahalli,Bangalore",4,6000,3.1
2248,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2249,"Yadavanahalli,Bangalore",8,4800,1.1
2250,"Hemmigepura,Bangalore",3,1500,1.3
2251,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2252,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2253,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2254,"Cheemasandra,Bangalore",3,920,0.8
2255,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2256,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2257,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2258,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2259,"Kattigenahalli,Bangalore",2,3000,1.08
2260,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2261,"Rajajinagar,Bangalore",7,5000,4.3
2262,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2263,"Yelahanka,Bangalore",5,4000,6.6
2264,"Margondanahalli,Bangalore",2,1000,1.2
2265,"Hancharahalli Village,Bangalore",3,1900,1.1
2266,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2267,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2268,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2269,"Kada Agrahara ,Bangalore",2,1050,0.75
2270,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2271,"Mattanahalli,Bangalore",3,1450,0.79
2272,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2273,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2274,"Yadavanahalli,Bangalore",8,4800,1.1
2275,"Harapanahalli,Bangalore",4,6000,3.1
2276,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2277,"Cheemasandra,Bangalore",3,920,0.8
2278,"Hemmigepura,Bangalore",3,1500,1.3
2279,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2280,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2281,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2282,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2283,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2284,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2285,"Mavalli,Bangalore",10,8000,5.5
2286,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2287,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2288,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2289,"Margondanahalli,Bangalore",2,1000,1.2
2290,"Hancharahalli Village,Bangalore",3,1900,1.1
2291,"Mattanahalli,Bangalore",3,1450,0.79
2292,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2293,"Mavalli,Bangalore",10,8000,5.5
2294,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2295,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2296,"Harapanahalli,Bangalore",4,6000,3.1
2297,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2298,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2299,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2300,"Hemmigepura,Bangalore",3,1500,1.3
2301,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2302,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2303,"Yadavanahalli,Bangalore",8,4800,1.1
2304,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2305,"Cheemasandra,Bangalore",3,920,0.8
2306,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2307,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2308,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2309,"Margondanahalli,Bangalore",2,1000,1.2
2310,"Hancharahalli Village,Bangalore",3,1900,1.1
2311,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2312,"Kada Agrahara ,Bangalore",2,1050,0.75
2313,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2314,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2315,"Kattigenahalli,Bangalore",2,3000,1.08
2316,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2317,"Rajajinagar,Bangalore",7,5000,4.3
2318,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2319,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2320,"Yelahanka,Bangalore",5,4000,6.6
2321,"Mattanahalli,Bangalore",3,1450,0.79
2322,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2323,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2324,"Yadavanahalli,Bangalore",8,4800,1.1
2325,"Harapanahalli,Bangalore",4,6000,3.1
2326,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2327,"Cheemasandra,Bangalore",3,920,0.8
2328,"Hemmigepura,Bangalore",3,1500,1.3
2329,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2330,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2331,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2332,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2333,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2334,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2335,"Mavalli,Bangalore",10,8000,5.5
2336,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2337,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2338,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2339,"Margondanahalli,Bangalore",2,1000,1.2
2340,"Hancharahalli Village,Bangalore",3,1900,1.1
2341,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2342,"Kada Agrahara ,Bangalore",2,1050,0.75
2343,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2344,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2345,"Kattigenahalli,Bangalore",2,3000,1.08
2346,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2347,"Rajajinagar,Bangalore",7,5000,4.3
2348,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2349,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2350,"Yelahanka,Bangalore",5,4000,6.6
2351,"Mattanahalli,Bangalore",3,1450,0.79
2352,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2353,"Mavalli,Bangalore",10,8000,5.5
2354,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2355,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2356,"Harapanahalli,Bangalore",4,6000,3.1
2357,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2358,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2359,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2360,"Hemmigepura,Bangalore",3,1500,1.3
2361,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2362,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2363,"Yadavanahalli,Bangalore",8,4800,1.1
2364,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2365,"Cheemasandra,Bangalore",3,920,0.8
2366,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2367,"Kada Agrahara ,Bangalore",2,1050,0.75
2368,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2369,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2370,"Yelahanka,Bangalore",5,4000,6.6
2371,"Mattanahalli,Bangalore",3,1450,0.79
2372,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2373,"Harapanahalli,Bangalore",4,6000,3.1
2374,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2375,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2376,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2377,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2378,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2379,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2380,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2381,"Mavalli,Bangalore",10,8000,5.5
2382,"Hemmigepura,Bangalore",3,1500,1.3
2383,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2384,"Yadavanahalli,Bangalore",8,4800,1.1
2385,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2386,"Cheemasandra,Bangalore",3,920,0.8
2387,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2388,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2389,"Margondanahalli,Bangalore",2,1000,1.2
2390,"Hancharahalli Village,Bangalore",3,1900,1.1
2391,"Mattanahalli,Bangalore",3,1450,0.79
2392,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2393,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2394,"Hemmigepura,Bangalore",3,1500,1.3
2395,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2396,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2397,"Mavalli,Bangalore",10,8000,5.5
2398,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2399,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2400,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2401,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2402,"Harapanahalli,Bangalore",4,6000,3.1
2403,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2404,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2405,"Cheemasandra,Bangalore",3,920,0.8
2406,"Yadavanahalli,Bangalore",8,4800,1.1
2407,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2408,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2409,"Rajajinagar,Bangalore",7,5000,4.3
2410,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2411,"Mattanahalli,Bangalore",3,1450,0.79
2412,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2413,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2414,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2415,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2416,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2417,"Hemmigepura,Bangalore",3,1500,1.3
2418,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2419,"Mavalli,Bangalore",10,8000,5.5
2420,"Harapanahalli,Bangalore",4,6000,3.1
2421,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2422,"Cheemasandra,Bangalore",3,920,0.8
2423,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2424,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2425,"Yadavanahalli,Bangalore",8,4800,1.1
2426,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2427,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2428,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2429,"Margondanahalli,Bangalore",2,1000,1.2
2430,"Hancharahalli Village,Bangalore",3,1900,1.1
2431,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2432,"Kada Agrahara ,Bangalore",2,1050,0.75
2433,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2434,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2435,"Kattigenahalli,Bangalore",2,3000,1.08
2436,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2437,"Rajajinagar,Bangalore",7,5000,4.3
2438,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2439,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2440,"Yelahanka,Bangalore",5,4000,6.6
2441,"Mattanahalli,Bangalore",3,1450,0.79
2442,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2443,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2444,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2445,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2446,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2447,"Hemmigepura,Bangalore",3,1500,1.3
2448,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2449,"Mavalli,Bangalore",10,8000,5.5
2450,"Harapanahalli,Bangalore",4,6000,3.1
2451,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2452,"Cheemasandra,Bangalore",3,920,0.8
2453,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2454,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2455,"Yadavanahalli,Bangalore",8,4800,1.1
2456,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2457,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2458,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
2459,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2460,"Kada Agrahara ,Bangalore",2,1050,0.75
2461,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2462,"Hancharahalli Village,Bangalore",3,1900,1.1
2463,"Margondanahalli,Bangalore",2,1000,1.2
2464,"Rajajinagar,Bangalore",7,5000,4.3
2465,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2466,"Kattigenahalli,Bangalore",2,3000,1.08
2467,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
2468,"Yelahanka,Bangalore",5,4000,6.6
2469,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2470,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
2471,"Mattanahalli,Bangalore",3,1450,0.79
2472,"BEL, Vidyaranyapura,Bangalore",9,12321,9
2473,"Harapanahalli,Bangalore",4,6000,3.1
2474,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
2475,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
2476,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
2477,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
2478,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
2479,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
2480,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
2481,"Mavalli,Bangalore",10,8000,5.5
2482,"Hemmigepura,Bangalore",3,1500,1.3
2483,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
2484,"Yadavanahalli,Bangalore",8,4800,1.1
2485,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
2486,"Cheemasandra,Bangalore",3,920,0.8
2487,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
2488,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
2489,"Margondanahalli,Bangalore",2,1000,1.2
2490,"Hancharahalli Village,Bangalore",3,1900,1.1
2491,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
2492,"Kada Agrahara ,Bangalore",2,1050,0.75
2493,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
2494,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
2495,"Kattigenahalli,Bangalore",2,3000,1.08
2496,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
